TestNo, BLOCK_I, BLOCK_J, BLOCK_K, Score_1, Score_2, Score_3, Score_Overall
82, 8, 8, 32, 13.9831647873, 13.9950008392, 14.0067431927, 13.9831647873
83, 16, 8, 32, 13.4385480881, 13.6072928905, 13.6661009789, 13.4385480881
84, 32, 8, 32, 13.4644300938, 13.4813270569, 13.5080389977, 13.4644300938
85, 64, 8, 32, 13.5787069798, 13.5932779312, 13.6401450634, 13.5787069798
86, 4, 16, 32, 14.3490908146, 14.3597860336, 14.3604459763, 14.3490908146
87, 8, 16, 32, 13.4517900944, 13.4634120464, 13.6841869354, 13.4517900944
88, 16, 16, 32, 13.2407581806, 13.261523962, 13.3525140285, 13.2407581806
89, 32, 16, 32, 13.2012779713, 13.2127509117, 13.2528600693, 13.2012779713
90, 64, 16, 32, 13.3141531944, 13.3145618439, 13.3305869102, 13.3141531944
91, 4, 32, 32, 13.8991611004, 14.1211941242, 14.1374490261, 13.8991611004
92, 8, 32, 32, 13.4507968426, 13.6056640148, 13.6941869259, 13.4507968426
93, 16, 32, 32, 13.2428519726, 13.268540144, 13.3140499592, 13.2428519726
94, 32, 32, 32, 13.1533300877, 13.1960248947, 13.2075519562, 13.1533300877
95, 64, 32, 32, 13.1463079453, 13.1464250088, 13.1517140865, 13.1463079453
96, 4, 64, 32, 14.000371933, 14.0075130463, 14.1200549603, 14.000371933
97, 8, 64, 32, 13.4021191597, 13.4518289566, 13.4598009586, 13.4021191597
98, 16, 64, 32, 13.1974270344, 13.2003679276, 13.2281579971, 13.1974270344
99, 32, 64, 32, 13.0687699318, 13.0915780067, 13.1049671173, 13.0687699318
100, 64, 64, 32, 13.0828449726, 13.0959279537, 13.1590809822, 13.0828449726
101, 4, 4, 64, 14.7819030285, 14.8062210083, 15.6098740101, 14.7819030285
102, 8, 4, 64, 14.0379679203, 14.0529749393, 14.6401410103, 14.0379679203
103, 16, 4, 64, 13.6116011143, 13.6548531055, 13.6694250107, 13.6116011143
104, 32, 4, 64, 13.5885100365, 13.6319830418, 13.893684864, 13.5885100365
105, 64, 4, 64, 13.4887750149, 13.4901590347, 13.8980162144, 13.4887750149
106, 4, 8, 64, 13.9045188427, 14.7044079304, 15.8586349487, 13.9045188427
107, 8, 8, 64, 13.4285140038, 13.9323220253, 13.9371609688, 13.4285140038
108, 16, 8, 64, 13.5774991512, 13.6433541775, 13.6793580055, 13.5774991512
109, 32, 8, 64, 13.2257089615, 13.5522420406, 13.8102309704, 13.2257089615
110, 64, 8, 64, 13.4274470806, 13.474009037, 13.5503458977, 13.4274470806
111, 4, 16, 64, 14.0184628963, 14.1895439625, 14.2784240246, 14.0184628963
112, 8, 16, 64, 13.329666853, 13.4984948635, 13.9494149685, 13.329666853
113, 16, 16, 64, 13.2224159241, 13.2826600075, 13.3244020939, 13.2224159241
114, 32, 16, 64, 13.0843470097, 13.0856311321, 13.1937589645, 13.0843470097
115, 64, 16, 64, 13.2920351028, 13.3080868721, 13.8250949383, 13.2920351028
116, 4, 32, 64, 13.6722841263, 14.1127209663, 14.5328178406, 13.6722841263
117, 8, 32, 64, 13.2007851601, 13.316904068, 13.5054600239, 13.2007851601
118, 16, 32, 64, 13.1419501305, 13.1824369431, 13.2126920223, 13.1419501305
119, 32, 32, 64, 12.9577851295, 12.9888851643, 13.0116519928, 12.9577851295
120, 64, 32, 64, 12.9620659351, 12.9723901749, 13.0054340363, 12.9620659351
121, 4, 64, 64, 13.694111824, 13.7674491405, 13.775439024, 13.694111824
122, 8, 64, 64, 13.2092540264, 13.2262659073, 13.3139741421, 13.2092540264
123, 16, 64, 64, 13.1167869568, 13.1728889942, 13.6947410107, 13.1167869568
124, 32, 64, 64, 12.9209930897, 12.9357440472, 12.9606368542, 12.9209930897
125, 64, 64, 64, 12.8730349541, 12.8789010048, 12.9237539768, 12.8730349541
